Exercise,NOSE_x,NOSE_y,NOSE_visi,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_visi,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_visi,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_visi,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_visi,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_visi,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_visi,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_visi,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_visi,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_visi,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_visi,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_visi,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_visi,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_visi,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_visi,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_visi,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_visi,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_visi,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_visi,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_visi,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_visi,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_visi,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_visi,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_visi,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_visi,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_visi,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_visi,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_visi,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_visi,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_visi,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_visi,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_visi,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_visi
squat,0.505166233,0.266311795,0.982306361,0.493333161,0.280615747,0.984479189,0.485228688,0.279497534,0.984173,0.476324946,0.278176934,0.985890031,0.515826583,0.285209507,0.981336951,0.522722185,0.286241412,0.978304148,0.529289305,0.28730309,0.979204416,0.461484909,0.261054158,0.981426179,0.537107587,0.271145284,0.97511667,0.497464269,0.226412877,0.971683383,0.520576298,0.224903271,0.964928269,0.369924694,0.168870896,0.978747845,0.60883671,0.215710625,0.980049431,0.29414016,0.303533554,0.60736829,0.730543256,0.411747754,0.696541727,0.303272396,0.580028772,0.751073182,0.700215161,0.723284662,0.791778624,0.296875894,0.672588766,0.718247116,0.686662674,0.800797045,0.750116944,0.313113153,0.704498529,0.732791901,0.670569718,0.803409636,0.758032918,0.316924214,0.672647536,0.713137031,0.671051681,0.78199631,0.721749723,0.397709787,-0.118041068,0.764516592,0.561035454,-0.083330363,0.750286996,0.386378288,0.180510864,0.29674232,0.7198174,0.265003502,0.28327924,0.489159107,0.395291358,0.129552171,0.56706351,0.417227596,0.144361556,0.504672408,0.39508003,0.187820509,0.547482908,0.389793187,0.174026906,0.518469214,0.544447064,0.200514033,0.554677606,0.597746432,0.205053762
squat,0.488600105,0.266425163,0.983550012,0.479234606,0.258105993,0.984902799,0.472551048,0.253804117,0.984846056,0.465650022,0.249260664,0.986647129,0.499901921,0.267778307,0.982250452,0.50669086,0.269115061,0.979664266,0.513376594,0.270344049,0.980570376,0.453914076,0.209614441,0.981740534,0.52575773,0.236022383,0.976153851,0.481052071,0.231415644,0.968975663,0.503213167,0.237643614,0.958492398,0.391207993,0.101690531,0.959760547,0.609201133,0.165896267,0.979560077,0.312135607,0.352259785,0.603576422,0.708414674,0.3989169,0.691784322,0.30619216,0.632297099,0.761182904,0.688651979,0.686131179,0.797562838,0.302259564,0.729176462,0.725499511,0.652538359,0.759781241,0.764185607,0.314239562,0.731593132,0.73802644,0.669315934,0.780689955,0.768592179,0.317961782,0.701939881,0.7086941,0.658714414,0.751791298,0.729209185,0.407652199,-0.198098719,0.762496054,0.561795354,-0.130962521,0.766702354,0.38792783,0.194464937,0.351580292,0.670625269,0.285749525,0.333587408,0.490167379,0.509643495,0.144919753,0.560124993,0.514582098,0.155128077,0.514748335,0.524118483,0.231120795,0.536491454,0.505046487,0.232987285,0.517602324,0.627872884,0.246119767,0.564084232,0.634770274,0.248030841
squat,0.468427479,0.242143974,0.985167801,0.459510386,0.257077336,0.986380637,0.45389232,0.255099952,0.986323178,0.448257983,0.252916783,0.987950027,0.477449596,0.261785597,0.983996689,0.4832322,0.263024062,0.981664538,0.488903701,0.264261723,0.982488692,0.445137411,0.228310123,0.983444929,0.502368033,0.241570815,0.978477955,0.467208713,0.208491504,0.971671224,0.483843625,0.216572374,0.962324023,0.364079058,0.108411416,0.949454963,0.61664921,0.13324216,0.977540791,0.299733132,0.378029227,0.634181619,0.675712466,0.372533441,0.718786657,0.296229392,0.623467684,0.768858671,0.667729259,0.641018093,0.811354637,0.285752207,0.683066428,0.730099618,0.673315883,0.717942834,0.774851978,0.30694586,0.688542724,0.742096603,0.658913672,0.727044046,0.778162658,0.312838107,0.663985014,0.714838684,0.645485878,0.696703196,0.7421754,0.418466032,-0.217090383,0.712856591,0.521224797,-0.221180931,0.722913086,0.392984778,0.182384551,0.371557713,0.634543061,0.205623537,0.376577854,0.474468142,0.388565332,0.18896842,0.514725864,0.398464233,0.203349024,0.504998028,0.400787652,0.265075982,0.500879824,0.414889961,0.264477193,0.482435077,0.455930769,0.276498437,0.505261183,0.498170316,0.273052901
squat,0.478547007,0.212118164,0.98663944,0.471764743,0.243858486,0.987728953,0.46674794,0.244323567,0.987675786,0.445486844,0.222525895,0.989142597,0.484160841,0.242388397,0.985582829,0.486893326,0.241821334,0.983477354,0.488831043,0.242343143,0.984222949,0.44410032,0.217010692,0.985068858,0.487608045,0.216640905,0.980595589,0.475338161,0.194516391,0.974409461,0.484297901,0.191894472,0.965967596,0.392301798,0.142627507,0.950253844,0.595294118,0.138505861,0.976601362,0.30740273,0.356763065,0.655091047,0.639280438,0.358908564,0.722213447,0.327867627,0.582301676,0.762536466,0.626027882,0.605138958,0.78564471,0.320316732,0.651841819,0.72234875,0.615796924,0.669689894,0.745622575,0.337571561,0.660112798,0.734961152,0.608057737,0.697051883,0.747717977,0.340524465,0.63872838,0.708270729,0.606832862,0.657267988,0.715951383,0.426813692,-0.208295554,0.68247515,0.490348637,-0.208737284,0.700003624,0.426953018,0.240555257,0.390790373,0.554423213,0.214282051,0.39116329,0.487074226,0.511220574,0.233674765,0.507030845,0.501397669,0.235163987,0.510059416,0.531493723,0.289519429,0.500344753,0.524527073,0.280461311,0.490409762,0.635298729,0.310125947,0.502839983,0.656740367,0.296193123
squat,0.472660154,0.237042695,0.987909138,0.4679088,0.267012686,0.988886535,0.464448839,0.266849071,0.988828897,0.44962588,0.265325278,0.990149021,0.476208359,0.268681914,0.986942828,0.478504747,0.269277006,0.985016286,0.480301768,0.271603942,0.985698462,0.448655188,0.246783629,0.986395121,0.481399626,0.252353221,0.982386231,0.468479395,0.205592439,0.976730883,0.476017624,0.202423468,0.969114006,0.403946549,0.119779818,0.94525665,0.584289908,0.124107204,0.973179877,0.335538805,0.365117997,0.682785153,0.62290442,0.346915722,0.741845965,0.336103886,0.577061415,0.770010114,0.629693151,0.596952379,0.793431163,0.32940957,0.650409043,0.725563407,0.634190977,0.657317519,0.749789715,0.345252693,0.657419443,0.737380743,0.622007906,0.674250722,0.751294136,0.352171361,0.644252121,0.711988866,0.615954518,0.648118556,0.722161531,0.432055801,-0.248231947,0.617460787,0.477751911,-0.257643551,0.634371221,0.431195647,0.210812256,0.383003682,0.525644243,0.168405145,0.387907654,0.475500643,0.416633785,0.243780479,0.467609316,0.408320308,0.242634192,0.490437329,0.430607378,0.284305066,0.464646816,0.425869465,0.281727821,0.477802604,0.532830358,0.30948776,0.467759997,0.543755949,0.297225505
squat,0.463374853,0.217295617,0.989096284,0.456039578,0.247081071,0.989971042,0.452285707,0.246628776,0.989916027,0.44470644,0.24672471,0.991104662,0.465282857,0.247543946,0.988222718,0.467413992,0.247807726,0.98647964,0.469104439,0.249285445,0.987096071,0.435294718,0.221946165,0.987689674,0.475884736,0.227855131,0.984082401,0.458232641,0.183574185,0.978878498,0.46662721,0.178864509,0.971985817,0.406649679,0.12597017,0.945263565,0.56346947,0.123751096,0.973167181,0.346072137,0.348287672,0.693612576,0.598845005,0.343383282,0.744936526,0.33874011,0.549000204,0.760965765,0.613996804,0.530560493,0.785825253,0.33163023,0.614557862,0.715685725,0.594405711,0.582468987,0.739016771,0.343754709,0.626849949,0.727876306,0.601010084,0.57730937,0.740187228,0.350664854,0.612366319,0.704654217,0.590057015,0.559857607,0.712650597,0.430199295,-0.239706889,0.576408803,0.461863518,-0.244222954,0.595823109,0.430231631,0.205537423,0.39793703,0.499374807,0.171452776,0.394745886,0.46453017,0.436055839,0.266412884,0.450229466,0.424750417,0.254608661,0.478143364,0.44869864,0.291048765,0.447319359,0.435474902,0.286410391,0.463586271,0.5685305,0.32563594,0.445104986,0.585002601,0.310074389
squat,0.465047419,0.24288103,0.990147769,0.460694313,0.250344157,0.990898609,0.459173739,0.249799728,0.99086082,0.445152521,0.250487685,0.991927385,0.461254269,0.250863492,0.98933506,0.457268894,0.251316398,0.987762153,0.454109013,0.253092855,0.98831147,0.48636803,0.245193347,0.988781214,0.445696294,0.232089832,0.985543013,0.464598566,0.223236009,0.980854094,0.465643227,0.223001674,0.974661231,0.55845046,0.147781387,0.948578417,0.404912561,0.136907443,0.973793089,0.562959194,0.373351723,0.711345971,0.388425261,0.347594529,0.752115548,0.552676737,0.572338998,0.773304641,0.3499946,0.532847047,0.796170413,0.574139774,0.633315623,0.731066048,0.324775755,0.584753573,0.752991438,0.552271843,0.642036557,0.742160082,0.356334805,0.585524142,0.753917098,0.545597732,0.61824131,0.720445991,0.362488568,0.569366395,0.72643441,0.48820442,-0.208500594,0.536595702,0.411705196,-0.215049699,0.555642486,0.473805964,0.210259765,0.381526768,0.438257128,0.171719536,0.380145252,0.471053928,0.418164074,0.278855532,0.431036234,0.393162638,0.266715556,0.478001535,0.429326206,0.290205896,0.435097367,0.406788021,0.286223501,0.464027792,0.544509172,0.344647467,0.438829958,0.516168296,0.327606827
squat,0.466851085,0.198217615,0.99112308,0.464852959,0.200040892,0.991795599,0.460379034,0.200224847,0.991761446,0.466939539,0.201125398,0.992719471,0.456775576,0.200525001,0.99038738,0.450140327,0.201808348,0.988968313,0.442947477,0.204434842,0.989463747,0.505732894,0.177084833,0.989860415,0.40338254,0.169598892,0.986961782,0.467030346,0.199710503,0.982736588,0.462614,0.185324386,0.977164924,0.591057301,0.134211212,0.95264107,0.368863493,0.115697883,0.974296391,0.629597187,0.367994308,0.73400712,0.35399133,0.345934063,0.765665829,0.594003916,0.584587097,0.791615725,0.317858666,0.535718799,0.809075415,0.603999972,0.635523498,0.752322555,0.298802376,0.588347137,0.768973649,0.583773136,0.640985608,0.762688756,0.321854144,0.591813684,0.769794464,0.578339219,0.613204241,0.741371512,0.338425666,0.575394988,0.742463708,0.520018935,-0.140417427,0.526116848,0.381700307,-0.187502965,0.546541989,0.514486194,0.242624715,0.376098543,0.420007408,0.170335338,0.369505078,0.481305271,0.412892759,0.288248748,0.415439516,0.381023765,0.272257477,0.478636205,0.422107816,0.284389406,0.424976051,0.39438355,0.280311048,0.466520548,0.531887829,0.357745945,0.425368696,0.505870581,0.338277519
squat,0.460956424,0.216866747,0.992001474,0.463374376,0.205994174,0.992607057,0.463294268,0.205110252,0.992575169,0.468274832,0.204418555,0.993436933,0.447874218,0.208590329,0.991337717,0.438980162,0.210319981,0.990056336,0.43055144,0.212821767,0.990505576,0.499722153,0.207543761,0.990850925,0.405885041,0.205373704,0.988249481,0.467881501,0.207102284,0.984435856,0.454412997,0.205866814,0.979424953,0.589043856,0.190582991,0.956811666,0.366562396,0.130290046,0.975618184,0.631666601,0.391677976,0.754945099,0.346193939,0.355125308,0.77891475,0.593916118,0.606132388,0.809321046,0.316724807,0.543430924,0.822486699,0.601968348,0.655624509,0.773496091,0.292350978,0.597827971,0.785385311,0.587534606,0.660074234,0.783385634,0.318979561,0.596816361,0.786174595,0.582969427,0.628904581,0.762517869,0.327566683,0.586261809,0.757296085,0.537015855,0.04287317,0.544064641,0.398164392,0.037984546,0.570122957,0.53497684,0.295593947,0.378149003,0.406779915,0.206179619,0.364326954,0.482313782,0.418079883,0.2821334,0.395646751,0.374327391,0.262064308,0.478144467,0.427696228,0.272693068,0.405967474,0.386984259,0.263638645,0.463984489,0.522726953,0.365676939,0.391499937,0.492661923,0.341029853
squat,0.46844691,0.235457644,0.992793143,0.483226687,0.218939438,0.993335366,0.494921118,0.213975161,0.993307114,0.50800693,0.209500864,0.994080484,0.454467833,0.225195453,0.992194116,0.447857469,0.225010097,0.991038918,0.4404338,0.225531951,0.991442442,0.526537776,0.192612544,0.991746008,0.41805324,0.2176328,0.989406466,0.492050409,0.228558809,0.985961854,0.460315466,0.237042502,0.981446207,0.606719196,0.20737192,0.960770786,0.366022825,0.212642983,0.976775467,0.626753926,0.490421832,0.774777293,0.352469027,0.433008194,0.781482697,0.604698777,0.646708071,0.822056115,0.337701738,0.599825442,0.825849533,0.60434407,0.700334728,0.788582981,0.313296974,0.636575401,0.792053103,0.584572136,0.702150524,0.797882557,0.33986181,0.628967166,0.791009009,0.58106041,0.670790732,0.777159929,0.355969489,0.625095069,0.75734818,0.542084813,0.04813803,0.585850358,0.401023924,0.021828806,0.609056354,0.560207248,0.318004429,0.400894612,0.41085282,0.258294851,0.386764795,0.545716941,0.615768969,0.329845518,0.406265497,0.550257862,0.297791451,0.488089949,0.623424351,0.315927774,0.416508734,0.584548295,0.290273845,0.540211558,0.712938845,0.415427268,0.408244193,0.685072958,0.387924045
squat,0.475277096,0.278609186,0.993388414,0.49075979,0.234182447,0.993847251,0.503587365,0.231106177,0.993835747,0.515960813,0.227690771,0.994548142,0.457969129,0.239763692,0.992811263,0.450540125,0.240090996,0.99177587,0.44153595,0.240664035,0.992162824,0.530699492,0.211987957,0.99242419,0.41920501,0.228800043,0.990241349,0.50296098,0.300320685,0.987166643,0.463575929,0.309413344,0.983046591,0.596893072,0.312786281,0.964491189,0.375905007,0.347489864,0.978396535,0.617648721,0.645643353,0.779245734,0.370507598,0.555698037,0.769476354,0.590075314,0.765988171,0.812158406,0.363342702,0.663211107,0.819224536,0.604112267,0.803002656,0.77419126,0.337046087,0.705173492,0.78492564,0.576700151,0.774410963,0.785202324,0.369884163,0.702534497,0.783595502,0.571979582,0.737377942,0.75905323,0.380961329,0.696878612,0.745973229,0.543835282,0.126321703,0.627087474,0.402078211,0.144101202,0.647895634,0.64991045,0.29090628,0.38623479,0.38178581,0.237745002,0.408498198,0.599503398,0.585274696,0.35033676,0.392460614,0.578006864,0.332563281,0.583473802,0.59431684,0.330497295,0.422225893,0.616224945,0.320225209,0.596858561,0.711632729,0.436452061,0.386192977,0.732785761,0.42008999
